Men-IGT.NMΩcontig_164_1	UniRef100_A1KSF4~K03529	97.8	1161	25	0	22	1182	1	1161	0.0	1826
Men-IGT.NMfilter90Ωcontig_56_3	UniRef100_X5F7I3~K03529	100	1161	0	0	1	1161	1	1161	0.0	1850
Men-IGT.NMΩcontig_56_3	UniRef100_X5F7I3~K03529	100	1161	0	0	1	1161	1	1161	0.0	1850
Men-IGT.NMfilter85Ωcontig_56_3	UniRef100_X5F7I3~K03529	100	1161	0	0	1	1161	1	1161	0.0	1850
Men-IGT.NMfilter95Ωcontig_56_3	UniRef100_X5F7I3~K03529	100	1161	0	0	1	1161	1	1161	0.0	1850
Men-IGT.NMfilter80Ωcontig_56_3	UniRef100_X5F7I3~K03529	100	1161	0	0	1	1161	1	1161	0.0	1850
Men-IGT.NMfilter90Ωcontig_182_1	UniRef100_A0A0E0TNP6~K02337	98.5	1114	17	0	1	1114	1	1114	0.0	2196
Men-IGT.NMΩcontig_182_1	UniRef100_A0A0E0TNP6~K02337	98.5	1114	17	0	1	1114	1	1114	0.0	2196
Men-IGT.NMfilter85Ωcontig_182_1	UniRef100_A0A0E0TNP6~K02337	98.5	1114	17	0	1	1114	1	1114	0.0	2196
Men-IGT.NMfilter95Ωcontig_182_1	UniRef100_A0A0E0TNP6~K02337	98.5	1114	17	0	1	1114	1	1114	0.0	2196
Men-IGT.NMfilter80Ωcontig_182_1	UniRef100_A0A0E0TNP6~K02337	98.5	1114	17	0	1	1114	1	1114	0.0	2196
Men-IGT.NMfilter90Ωcontig_159_1	UniRef100_X5F4U0~K02674	83.3	1005	156	6	28	1027	2	999	0.0	1645
Men-IGT.NMΩcontig_159_1	UniRef100_X5F4U0~K02674	83.3	1005	156	6	28	1027	2	999	0.0	1645
Men-IGT.NMfilter85Ωcontig_159_1	UniRef100_X5F4U0~K02674	83.3	1005	156	6	28	1027	2	999	0.0	1645
Men-IGT.NMfilter95Ωcontig_159_1	UniRef100_X5F4U0~K02674	83.3	1005	156	6	28	1027	2	999	0.0	1645
Men-IGT.NMfilter80Ωcontig_159_1	UniRef100_X5F4U0~K02674	83.3	1005	156	6	28	1027	2	999	0.0	1645
Men-IGT.NMfilter90Ωcontig_132_2	UniRef100_Q9JUS4~K03701	99.6	948	4	0	1	948	1	948	0.0	1888
Men-IGT.NMΩcontig_132_2	UniRef100_Q9JUS4~K03701	99.6	948	4	0	1	948	1	948	0.0	1888
Men-IGT.NMfilter85Ωcontig_132_2	UniRef100_Q9JUS4~K03701	99.6	948	4	0	1	948	1	948	0.0	1888
Men-IGT.NMfilter95Ωcontig_132_2	UniRef100_Q9JUS4~K03701	99.6	948	4	0	1	948	1	948	0.0	1888
Men-IGT.NMfilter80Ωcontig_132_2	UniRef100_Q9JUS4~K03701	99.6	948	4	0	1	948	1	948	0.0	1888
Men-IGT.NMfilter90Ωcontig_86_2	UniRef100_Q06379~K16087	98.1	943	18	0	1	943	1	943	0.0	1871
Men-IGT.NMΩcontig_86_2	UniRef100_Q06379~K16087	98.1	943	18	0	1	943	1	943	0.0	1871
Men-IGT.NMfilter85Ωcontig_86_2	UniRef100_Q06379~K16087	98.1	943	18	0	1	943	1	943	0.0	1871
Men-IGT.NMfilter95Ωcontig_86_2	UniRef100_Q06379~K16087	98.1	943	18	0	1	943	1	943	0.0	1871
Men-IGT.NMfilter80Ωcontig_86_2	UniRef100_Q06379~K16087	98.1	943	18	0	1	943	1	943	0.0	1871
Men-IGT.NMfilter90Ωcontig_108_3	UniRef100_A9M1J7~K01870	100	929	0	0	1	929	1	929	0.0	1883
Men-IGT.NMΩcontig_108_3	UniRef100_A9M1J7~K01870	100	929	0	0	1	929	1	929	0.0	1883
Men-IGT.NMfilter85Ωcontig_108_3	UniRef100_A9M1J7~K01870	100	929	0	0	1	929	1	929	0.0	1883
Men-IGT.NMfilter95Ωcontig_108_3	UniRef100_A9M1J7~K01870	100	929	0	0	1	929	1	929	0.0	1883
Men-IGT.NMfilter80Ωcontig_108_3	UniRef100_A9M1J7~K01870	100	929	0	0	1	929	1	929	0.0	1883
Men-IGT.NMfilter90Ωcontig_21_1	UniRef100_B8P1W5~K01952	50.4	956	432	17	4	918	1	955	2.61e-291	845
Men-IGT.NMΩcontig_21_1	UniRef100_B8P1W5~K01952	50.4	956	432	17	4	918	1	955	2.61e-291	845
Men-IGT.NMfilter85Ωcontig_21_1	UniRef100_B8P1W5~K01952	50.4	956	432	17	4	918	1	955	2.61e-291	845
Men-IGT.NMfilter95Ωcontig_21_1	UniRef100_B8P1W5~K01952	50.4	956	432	17	4	918	1	955	2.61e-291	845
Men-IGT.NMfilter80Ωcontig_21_1	UniRef100_B8P1W5~K01952	50.4	956	432	17	4	918	1	955	2.61e-291	845
Men-IGT.NMfilter90Ωcontig_154_1	UniRef100_B9M4M3~K03582	31.8	914	563	26	4	889	182	1063	8.08e-101	345
Men-IGT.NMΩcontig_154_1	UniRef100_B9M4M3~K03582	31.8	914	563	26	4	889	182	1063	8.08e-101	345
Men-IGT.NMfilter85Ωcontig_154_1	UniRef100_B9M4M3~K03582	31.8	914	563	26	4	889	182	1063	8.08e-101	345
Men-IGT.NMfilter95Ωcontig_154_1	UniRef100_B9M4M3~K03582	31.8	914	563	26	4	889	182	1063	8.08e-101	345
